    dgrf40 
 10  6371.2 1940.0
1	0	-30654	 0
1	1	-2292	 5821
2	0	-1106	0
2	1	2981	-1614
2	2	1566	528
3	0	1240	0
3	1	-1790	-499
3	2	1232	163
3	3	916	43
4	0	914	0
4	1	762	169
4	2	550	-252
4	3	-405	-72
4	4	265	-141
5	0	-241	0
5	1	334	-33
5	2	208	71
5	3	-33	-75
5	4	-141	-113
5	5	-76	69
6	0	57	0
6	1	54	4
6	2	-7	105
6	3	-249	33
6	4	-18	-15
6	5	18	0
6	6	-107	-33
7	0	74	0
7	1	-53	-52
7	2	4	-18
7	3	20	-14
7	4	-31	7
7	5	-9	29
7	6	17	-20
7	7	5	-19
8	0	11	0
8	1	7	8
8	2	-3	-14
8	3	-10	5
8	4	1	-15
8	5	6	5
8	6	-5	19
8	7	9	-5
8	8	7	-19
9	0	8	0
9	1	10	-21
9	2	1	15
9	3	-12	5
9	4	11	-3
9	5	1	-3
9	6	-2	9
9	7	3	11
9	8	1	-2
9	9	-2	2
10	0	-3	0
10	1	-4	2
10	2	2	1
10	3	-5	2
10	4	-2	6
10	5	6	-4
10	6	4	0
10	7	0	-1
10	8	2	4
10	9	3	0
10	10	0	-6
